State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Senada,3,0.02
TIRANE,F,2013,Senida,1,0.01
TIRANE,F,2013,Sentibela,1,0.01
TIRANE,F,2013,Sentiliana,1,0.01
TIRANE,F,2013,Serajna,1,0.01
TIRANE,F,2013,Serena,8,0.05
TIRANE,F,2013,Serie,1,0.01
TIRANE,F,2013,Serin,1,0.01
TIRANE,F,2013,Servete,1,0.01
TIRANE,F,2013,Severina,1,0.01
TIRANE,F,2013,Shamela,1,0.01
TIRANE,F,2013,Sharliz,1,0.01
TIRANE,F,2013,Sharon,1,0.01
TIRANE,F,2013,Shaze,1,0.01
TIRANE,F,2013,Shefije,1,0.01
TIRANE,F,2013,Sheila,4,0.02
TIRANE,F,2013,Sheje,1,0.01
TIRANE,F,2013,Shejla,1,0.01
TIRANE,F,2013,Shela Shefike,1,0.01
TIRANE,F,2013,Sherli,1,0.01
TIRANE,F,2013,Shibla,1,0.01
TIRANE,F,2013,Shirel,1,0.01
TIRANE,F,2013,Shkëlqesa,1,0.01
TIRANE,F,2013,Shpresa,1,0.01
TIRANE,F,2013,Shqiponja,1,0.01
TIRANE,F,2013,Shyqirie,1,0.01
TIRANE,F,2013,Siamela,1,0.01
TIRANE,F,2013,Siandra,1,0.01
TIRANE,F,2013,Siara Abel,1,0.01
TIRANE,F,2013,Sibel,3,0.02
TIRANE,F,2013,Sibela,1,0.01
TIRANE,F,2013,Sibora,23,0.14
TIRANE,F,2013,Sibora Avdullai,1,0.01
TIRANE,F,2013,Sidnej,1,0.01
TIRANE,F,2013,Sidni,1,0.01
TIRANE,F,2013,Sidorela,7,0.04
TIRANE,F,2013,Siel,3,0.02
TIRANE,F,2013,Siera,3,0.02
TIRANE,F,2013,Sigea,1,0.01
TIRANE,F,2013,Sigi,2,0.01
TIRANE,F,2013,Sihana,2,0.01
TIRANE,F,2013,Sijana,1,0.01
TIRANE,F,2013,Silia,1,0.01
TIRANE,F,2013,Silvana,1,0.01
TIRANE,F,2013,Silvi,1,0.01
TIRANE,F,2013,Simela,3,0.02
TIRANE,F,2013,Simelba,1,0.01
TIRANE,F,2013,Simila,1,0.01
TIRANE,F,2013,Simona,1,0.01
TIRANE,F,2013,Sindej,1,0.01
TIRANE,F,2013,Sindi,10,0.06
TIRANE,F,2013,Sindiana,1,0.01
TIRANE,F,2013,Siona,1,0.01
TIRANE,F,2013,Sirina,1,0.01
TIRANE,F,2013,Siven,1,0.01
TIRANE,F,2013,Skyla,1,0.01
TIRANE,F,2013,Soana,2,0.01
TIRANE,F,2013,Soanja,1,0.01
TIRANE,F,2013,Soanna,1,0.01
TIRANE,F,2013,Sofi,4,0.02
TIRANE,F,2013,Sofia,9,0.05
TIRANE,F,2013,Sofiardoa,1,0.01
TIRANE,F,2013,Sofije,1,0.01
TIRANE,F,2013,Sofjana,1,0.01
TIRANE,F,2013,Solei,1,0.01
TIRANE,F,2013,Solidea,1,0.01
TIRANE,F,2013,Soni,1,0.01
TIRANE,F,2013,Sonia,2,0.01
TIRANE,F,2013,Sonila,3,0.02
